name;xcoord;ycoord
SiO-El-75-3;236637.249228754;5434114.13582855
SiO-El-75-4;236543.115856989;5434119.26826519
SiO-El-75-5;236646.456705667;5434122.05306032
SiO-Mo-225-1;236680.101785543;5433977.55169247
SiO-Mo-225-2;236704.481288643;5433978.85451948
SiO-Mo-225-3;236833.799564487;5433959.84735439
SiO-Mo-225-4;236866.868030938;5433971.08381298
SiO-Mo-225-5;236692.258064598;5433973.16596465
SiO-Mo-50-1;236858.656812439;5434133.67484021
SiO-Mo-50-2;236874.421055441;5434155.69601337
SiO-Mo-50-3;236681.323624334;5434131.00996234
SiO-Mo-50-4;236764.244381805;5434143.91850212
SiO-Mo-50-5;236803.528889815;5434145.90570162
SiO-Mo-75-1;236767.254236023;5434109.1715284
SiO-Mo-75-2;236713.480931426;5434122.36249688
SiO-Mo-75-3;236749.099743784;5434123.22823432
SiO-Mo-75-4;236711.091578642;5434107.11355987
SiO-Mo-75-5;236883.511323594;5434118.19519724
SiO-Pr-225-1;236986.045364597;5433977.76977469
SiO-Pr-225-2;237028.332722484;5433972.78095372
SiO-Pr-225-3;237057.128729824;5433968.69002751
SiO-Pr-225-4;236990.933377599;5433970.8812232
SiO-Pr-225-5;237088.068684932;5433980.07269373
SiO-Pr-50-1;237006.023523695;5434154.82414187
SiO-Pr-50-2;236917.603039336;5434136.1201611
SiO-Pr-50-3;236979.449509358;5434148.56963928
SiO-Pr-50-4;236932.856703803;5434143.45088039
SiO-Pr-50-5;237055.19040081;5434153.1799765
SiO-Pr-75-1;237050.161882917;5434116.06096539
SiO-Pr-75-2;237051.29838143;5434112.78524
SiO-Pr-75-3;236922.109092706;5434126.58979511
SiO-Pr-75-4;236893.017433575;5434132.18652741
SiO-Pr-75-5;237104.331041106;5434127.86784564
